Text (Indonesia),Text (English)
Budi punya {a} kelereng. Ayah membelikannya {b} kelereng lagi. Berapa jumlah kelereng Budi sekarang?,Budi has {a} marbles. His father buys him {b} more marbles. How many marbles does Budi have now?
"Ani memiliki {a} boneka. Saat ulang tahun, ia mendapat hadiah {b} boneka lagi. Berapa boneka Ani sekarang?","Ani has {a} dolls. On her birthday, she gets {b} more dolls as a gift. How many dolls does Ani have now?"
Edo membawa {a} mobil-mobilan ke taman. Udin membawa {b} mobil-mobilan. Berapa jumlah mobil-mobilan mereka berdua?,Edo brings {a} toy cars to the park. Udin brings {b} toy cars. How many toy cars do they have in total?
Siti punya {a} bola karet. Lani memberinya {b} bola karet lagi. Berapa banyak bola karet Siti?,Siti has {a} rubber balls. Lani gives her {b} more rubber balls. How many rubber balls does Siti have?
Di kotak mainan ada {a} blok lego. Adik memasukkan {b} blok lego lagi. Berapa jumlah lego di dalam kotak sekarang?,There are {a} Lego blocks in the toy box. Her younger sibling puts in {b} more Lego blocks. How many Lego blocks are there in the box now?
Doni memiliki {a} layang-layang. Kakak membuatkan {b} layang-layang lagi untuknya. Berapa layang-layang Doni sekarang?,Doni has {a} kites. His older brother makes {b} more kites for him. How many kites does Doni have now?
Rara mengumpulkan {a} stiker bintang. Ibu memberinya {b} stiker bintang lagi. Berapa stiker Rara sekarang?,Rara collected {a} star stickers. Her mother gives her {b} more star stickers. How many stickers does Rara have now?
Rudi punya {a} robot mainan. Ayah membelikannya {b} robot mainan lagi. Berapa jumlah robot Rudi semuanya?,Rudi has {a} toy robots. Father buys him {b} more toy robots. How many robots does Rudi have in total?
Dina meniup {a} balon merah dan {b} balon biru. Berapa jumlah semua balon Dina?,Dina blows up {a} red balloons and {b} blue balloons. How many balloons does Dina have in total?
Tono punya {a} kartu bergambar. Temannya memberi {b} kartu lagi. Berapa kartu Tono sekarang?,Tono has {a} picture cards. His friend gives him {b} more cards. How many cards does Tono have now?
Bima memiliki {a} gasing. Ayah membelikannya {b} gasing baru. Berapa banyak gasing Bima?,Bima has {a} spinning tops. His father buys him {b} new spinning tops. How many spinning tops does Bima have?
Rani menyusun {a} manik-manik merah dan {b} manik-manik kuning menjadi gelang. Berapa jumlah manik-manik Rani?,Rani strings {a} red beads and {b} yellow beads into a bracelet. What is the total number of beads Rani has?
Gilang punya {a} yoyo. Paman membelikannya {b} yoyo lagi. Berapa jumlah yoyo Gilang sekarang?,Gilang has {a} yoyos. His uncle buys him {b} more yoyos. How many yoyos does Gilang have now?
Fani punya {a} mainan puzzle. Kakek memberinya {b} mainan puzzle lagi. Berapa jumlah puzzle Fani?,Fani has {a} puzzle toys. Grandfather gives her {b} more puzzle toys. How many puzzles does Fani have?
