Soal (Indonesia),Question (English)
Ibu membagikan uang sebanyak {a} rupiah secara merata kepada {b} anaknya untuk uang jajan. Berapa rupiah uang jajan yang diterima oleh setiap anak?,Mother distributed {a} rupiah evenly among her {b} children for pocket money. How many rupiah of pocket money did each child receive?
Adik membeli {a} buah permen dan ingin membagikannya sama banyak kepada {b} orang temannya. Berapa butir permen yang didapatkan oleh setiap teman Adik?,Younger sibling bought {a} candies and wants to distribute them equally among {b} friends. How many candies does each friend get?
"Di dalam sebuah kardus terdapat {a} buah mangga. Jika semua mangga tersebut akan dimasukkan sama rata ke dalam {b} buah keranjang, berapa buah mangga di setiap keranjang?","There are {a} mangoes in a cardboard box. If all the mangoes are to be placed equally into {b} baskets, how many mangoes are in each basket?"
"Ayah membeli {a} lembar roti tawar untuk sarapan {b} orang anggota keluarga. Jika setiap orang mendapat bagian yang sama, berapa lembar roti yang dimakan setiap orang?","Father bought {a} slices of white bread for breakfast for {b} family members. If each person gets an equal share, how many slices of bread does each person eat?"
Sebuah tali jemuran yang panjangnya {a} meter dipotong menjadi {b} bagian yang sama panjang. Berapa meter panjang setiap potongan tali tersebut?,A clothesline with a length of {a} meters is cut into {b} equal parts. How many meters long is each piece of the rope?
Kakak memiliki {a} butir kelereng yang ingin disimpan ke dalam {b} kotak kecil dengan jumlah yang sama. Berapa butir kelereng yang ada di setiap kotak?,Older sibling has {a} marbles and wants to store them equally in {b} small boxes. How many marbles are in each box?
Ibu membuat kue bolu yang kemudian dipotong-potong menjadi {a} bagian sama besar. Kue tersebut diletakkan merata di atas {b} buah piring. Berapa potong kue di setiap piring?,Mother made a sponge cake which was then cut into {a} equal pieces. The cake pieces were placed equally on {b} plates. How many pieces of cake are on each plate?
Sebuah dispenser berisi {a} liter air matang. Air tersebut akan dituang habis ke dalam {b} buah botol minum berukuran sama sampai penuh. Berapa liter kapasitas setiap botol minum?,A dispenser contains {a} liters of drinking water. The water will be poured completely into {b} identical water bottles until they are full. What is the capacity in liters of each water bottle?
Seorang pedagang buah menyusun {a} buah apel secara merata ke dalam {b} baris di etalase tokonya. Berapa buah apel yang ada pada setiap baris?,A fruit trader arranges {a} apples evenly into {b} rows on the shop display window. How many apples are there in each row?
Panitia arisan menyediakan {a} buah gorengan yang akan disajikan merata di atas {b} buah piring saji. Berapa total gorengan yang ada di setiap piring?,The social gathering committee provided {a} fried snacks to be served equally on {b} serving plates. What is the total number of fried snacks on each plate?
"Ayah membeli persediaan {a} bungkus mi instan untuk konsumsi selama {b} minggu. Jika setiap minggu menghabiskan jumlah yang sama, berapa bungkus mi instan yang dimasak per minggu?","Father bought a supply of {a} packs of instant noodles to be consumed over {b} weeks. If they consume the same amount each week, how many packs of instant noodles are cooked per week?"
Sinta membagikan {a} potong kue ulang tahun kepada {b} orang sahabatnya sama banyak. Berapa potong kue yang diterima oleh setiap sahabat Sinta?,Sinta distributed {a} pieces of birthday cake equally among her {b} close friends. How many pieces of cake did each of Sinta's friends receive?
"Di sebuah tempat parkir, terdapat {a} sepeda motor yang diparkir rapi dalam {b} barisan sama panjang. Berapa banyak sepeda motor di setiap barisnya?","In a parking lot, there are {a} motorcycles parked neatly in {b} rows of equal length. How many motorcycles are in each row?"
Pak Guru membawa {a} batang kapur tulis dan membagikannya secara merata kepada {b} ketua kelas. Berapa batang kapur tulis yang didapat oleh setiap ketua kelas?,The teacher brought {a} sticks of chalk and distributed them evenly to {b} class captains. How many sticks of chalk did each class captain get?
Sebuah bus kota mengangkut {a} orang penumpang. Di dalam bus terdapat {b} baris kursi kosong yang diisi penumpang dengan jumlah yang sama tiap barisnya. Berapa orang yang duduk di setiap baris?,"A city bus carries {a} passengers. Inside the bus, there are {b} rows of empty seats filled by passengers in equal numbers per row. How many people are sitting in each row?"
Budi memesan piza yang berisikan {a} potongan. Piza tersebut akan dimakan bersama oleh {b} orang temannya secara adil. Berapa potong piza yang didapatkan oleh setiap orang?,Budi ordered a pizza containing {a} slices. The pizza will be shared equally among {b} friends. How many slices of pizza does each person get?
Petugas kebersihan menyiram tanaman menggunakan {a} liter air yang diambil dari {b} buah ember penuh berkapasitas sama. Berapa liter air yang ada di dalam setiap ember?,The janitor waters the plants using {a} liters of water taken from {b} full buckets of equal capacity. How many liters of water are inside each bucket?
Kakek membeli {a} butir kapsul vitamin untuk dihabiskan selama {b} hari secara teratur. Berapa butir kapsul yang harus diminum Kakek setiap harinya?,Grandfather bought {a} vitamin capsules to be taken regularly over {b} days. How many capsules must Grandfather take each day?
"Ibu membeli {a} ikat bayam di pasar seharga total {b} rupiah. Jika setiap ikat bayam memiliki harga yang sama, berapa rupiah harga satu ikat bayam tersebut?","Mother bought {a} bunches of spinach at the market for a total of {b} rupiah. If each bunch of spinach costs the same, how many rupiah is the price of one bunch of spinach?"
