Soal (Indonesia),Question (English)
"Ibu membeli {a} kantong beras di pasar. Jika setiap kantong beras memiliki berat {b} kilogram, berapa total berat beras yang dibeli Ibu?","Mother bought {a} bags of rice at the market. If each bag of rice weighs {b} kilograms, what is the total weight of the rice she bought?"
"Adik menabung selama {a} hari penuh. Jika setiap hari ia memasukkan uang sebesar {b} rupiah ke celengannya, berapa jumlah uang tabungan Adik sekarang?","Younger sibling has been saving for {a} full days. If they put {b} rupiah into their piggy bank every day, how much is their total savings now?"
Ayah membeli {a} bungkus roti tawar untuk sarapan. Setiap bungkus berisi {b} lembar roti. Berapa lembar roti seluruhnya?,Father bought {a} packs of white bread for breakfast. Each pack contains {b} slices of bread. How many slices of bread are there in total?
"Ibu membuat kue bolu pandan sebanyak {a} loyang. Jika setiap loyang dipotong menjadi {b} bagian, berapa banyak potongan kue bolu seluruhnya?","Mother made {a} pans of pandan sponge cake. If each pan is cut into {b} pieces, how many pieces of sponge cake are there in total?"
"Doni membeli {a} kotak pensil untuk dibagikan kepada teman-temannya. Jika di dalam satu kotak terdapat {b} batang pensil, berapa banyak pensil Doni seluruhnya?","Doni bought {a} pencil boxes to distribute to his friends. If there are {b} pencils in one box, how many pencils does Doni have in total?"
Di atas meja makan terdapat {a} piring gorengan. Di setiap piring diletakkan {b} buah gorengan. Berapa total gorengan yang disajikan?,"On the dining table, there are {a} plates of fried snacks. On each plate, {b} fried snacks are placed. How many fried snacks are served in total?"
"Tukang sate membakar {a} porsi sate ayam. Jika setiap porsi berisi {b} tusuk sate, berapa total tusuk sate yang dibakar?","The satay vendor grills {a} portions of chicken satay. If each portion contains {b} skewers of satay, how many skewers of satay are grilled in total?"
Ayah membeli {a} kotak lampu LED untuk mengganti lampu yang rusak. Tiap kotak berisi {b} buah bola lampu. Berapa lampu LED yang dibeli Ayah?,Father bought {a} boxes of LED bulbs to replace broken lights. Each box contains {b} light bulbs. How many LED lights did Father buy?
"Kakak menyusun pakaian ke dalam lemari sebanyak {a} tumpuk. Jika setiap tumpuk berisi {b} potong pakaian, berapa total pakaian yang dirapikan Kakak?","Older sibling arranged clothes into the wardrobe in {a} stacks. If each stack contains {b} pieces of clothing, how many clothes did they tidy up in total?"
Sinta membagikan {a} kotak bingkisan makanan ringan pada hari ulang tahunnya. Di dalam setiap kotak ada {b} bungkus biskuit cokelat. Berapa banyak bungkus biskuit yang dibagikan?,"On her birthday, Sinta distributed {a} gift boxes of snacks. Inside each box, there are {b} packs of chocolate biscuits. How many packs of biscuits were distributed?"
