"Indonesian","English"
"Budi punya {a} kelereng. Ayah memberi {b} kelereng, lalu Budi memberikan {c} kelereng kepada adiknya. Berapa sisa kelereng Budi?","Budi has {a} marbles. Father gives him {b} more, then Budi gives {c} marbles to his younger sibling. How many marbles does Budi have left?"
"Ani punya {a} boneka. Ia membeli {b} boneka baru, tetapi {c} bonekanya rusak. Berapa sisa boneka Ani?","Ani has {a} dolls. She buys {b} new dolls, but {c} of her dolls are broken. How many dolls does Ani have left?"
"Di kotak ada {a} balok lego. Adik memasukkan {b} balok lego, lalu ayah mengambil {c} balok. Berapa sisa balok di kotak?","In the box, there are {a} lego blocks. My younger sibling adds {b} lego blocks, then father takes {c} blocks. How many blocks are left in the box?"
"Doni memiliki {a} layang-layang. Kakak membuatkan {b} layang-layang, namun {c} layang-layang talinya putus. Berapa sisa layang-layang Doni?","Doni has {a} kites. His older sibling makes him {b} more, but the strings of {c} kites snap. How many kites does Doni have left?"
"Rudi punya {a} robot mainan. Ibu membelikan {b} robot lagi, lalu {c} robot diberikan kepada sepupunya. Berapa sisa robot Rudi?","Rudi has {a} toy robots. Mother buys him {b} more, then {c} robots are given to his cousin. How many robots does Rudi have left?"
"Dina meniup {a} balon. Ayah meniupkan {b} balon lagi, tetapi {c} balon meletus. Berapa sisa balon Dina?","Dina blows {a} balloons. Father blows {b} more, but {c} balloons pop. How many balloons does Dina have left?"
"Tono punya {a} kartu bergambar. Teman memberi {b} kartu, lalu Tono kehilangan {c} kartu. Berapa sisa kartu Tono?","Tono has {a} picture cards. A friend gives him {b} cards, then Tono loses {c} cards. How many cards does Tono have left?"
"Ibu punya {a} apel. Ayah membawa {b} apel lagi, lalu {c} apel dimakan adik. Berapa sisa apel ibu?","Mother has {a} apples. Father brings {b} more, then {c} apples are eaten by my younger sibling. How many apples does Mother have left?"
"Lani punya {a} jeruk. Kakek memberi {b} jeruk, kemudian Lani memakan {c} jeruk. Berapa sisa jeruk Lani?","Lani has {a} oranges. Grandpa gives her {b} more, then Lani eats {c} oranges. How many oranges does Lani have left?"
"Di keranjang ada {a} mangga. Ibu menambah {b} mangga, tapi {c} mangga ternyata busuk. Berapa sisa mangga yang bagus?","In the basket, there are {a} mangoes. Mother adds {b} more, but {c} mangoes turn out to be rotten. How many good mangoes are left?"
