"Indonesian","English"
"Ani membeli {a} permen manis. Ia membagikan {b} permen kepada temannya. Berapa sisa permen Ani?","Ani bought {a} sweet candies. She gave {b} candies to her friend. How many candies does Ani have left?"
"Sinta memiliki {a} keping cokelat. Ia memberikan {b} keping kepada adiknya. Berapa keping cokelat Sinta sekarang?","Sinta has {a} pieces of chocolate. She gave {b} pieces to her younger sibling. How many pieces of chocolate does Sinta have now?"
"Budi membawa {a} donat ke sekolah. Budi memakan {b} donat. Berapa sisa donat Budi?","Budi brought {a} donuts to school. Budi ate {b} donuts. How many donuts does Budi have left?"
"Ibu membuat {a} potong kue cokelat. Adik memakan {b} potong. Berapa sisa kue cokelat ibu?","Mother made {a} slices of chocolate cake. My younger sibling ate {b} slices. How many slices of chocolate cake does Mother have left?"
"Paman membelikan {a} es krim. Ternyata {b} es krim mencair karena panas. Berapa es krim yang masih beku?","Uncle bought {a} ice creams. It turns out {b} ice creams melted from the heat. How many frozen ice creams are left?"
"Ibu punya {a} apel manis. Ayah memakan {b} apel. Berapa sisa apel ibu?","Mother has {a} sweet apples. Father ate {b} apples. How many apples does Mother have left?"
"Edo mencuci {a} stroberi. Adiknya memakan {b} stroberi. Berapa sisa stroberi Edo?","Edo washed {a} strawberries. His younger sibling ate {b} strawberries. How many strawberries does Edo have left?"
"Edo punya {a} biskuit. Ia memakan {b} biskuit. Berapa sisa biskuit Edo?","Edo has {a} biscuits. He ate {b} biscuits. How many biscuits does Edo have left?"
"Siti dibuatkan {a} gelas susu. Siti meminum {b} gelas. Berapa sisa gelas susu Siti?","Siti was made {a} glasses of milk. Siti drank {b} glass. How many full glasses of milk are left?"
"Di kotak bekal ada {a} potong roti. Budi memakan {b} potong saat istirahat. Berapa sisa roti di kotak bekal?","In the lunchbox, there are {a} slices of bread. Budi ate {b} slices during recess. How many slices of bread are left in the lunchbox?"
"Lani memetik {a} buah jeruk di kebun. Ia memberikan {b} jeruk kepada kakek. Berapa sisa jeruk Lani?","Lani picked {a} oranges in the garden. She gave {b} oranges to Grandpa. How many oranges does Lani have left?"
"Di keranjang ada {a} mangga. Ternyata {b} mangga membusuk. Berapa mangga yang masih bagus?","In the basket, there are {a} mangoes. It turns out {b} mango is rotten. How many good mangoes are left?"
"Di kulkas ada {a} buah anggur. Adik memakan {b} anggur. Berapa sisa anggur di kulkas?","In the fridge, there are {a} grapes. My younger sibling ate {b} grapes. How many grapes are left in the fridge?"
"Ayah memanen {a} pisang. Ibu menggoreng {b} pisang. Berapa sisa pisang yang belum digoreng?","Father harvested {a} bananas. Mother fried {b} bananas. How many unfried bananas are left?"
"Ada {a} rambutan di atas meja. Ayah memakan {b} rambutan. Berapa sisa rambutan di meja?","There are {a} rambutans on the table. Father ate {b} rambutans. How many rambutans are left on the table?"
"Udin memetik {a} jambu air. Ia memakan {b} jambu air bersama temannya. Berapa sisa jambu Udin?","Udin picked {a} water apples. He ate {b} water apples with his friend. How many water apples does Udin have left?"
"Rio membawa {a} potong melon. Ia memakan {b} potong melon. Berapa sisa melon Rio?","Rio brought {a} slices of melon. He ate {b} slices of melon. How many slices of melon does Rio have left?"
"Dina memotong {a} buah naga. Ibu membuat jus dari {b} buah naga. Berapa sisa buah naga Dina?","Dina cut {a} dragon fruits. Mother made juice out of {b} dragon fruits. How many dragon fruits does Dina have left?"
"Ibu mengupas {a} jeruk bali. Adik memakan {b} jeruk bali. Berapa sisa jeruk bali ibu?","Mother peeled {a} pomelos. My younger sibling ate {b} pomelos. How many pomelos does Mother have left?"
"Nenek merebus {a} butir telur. Kakek memakan {b} telur rebus. Berapa sisa telur rebus nenek?","Grandma boiled {a} eggs. Grandpa ate {b} boiled eggs. How many boiled eggs does Grandma have left?"
"Ayah menggoreng {a} tempe. Saat makan siang, {b} tempe habis dimakan. Berapa sisa tempe goreng?","Father fried {a} tempeh. During lunch, {b} tempeh were eaten. How many fried tempeh are left?"
"Rio membeli {a} butir bakso. Ia memakan {b} bakso. Berapa sisa bakso di mangkok Rio?","Rio bought {a} meatballs. He ate {b} meatballs. How many meatballs are left in Rio's bowl?"
"Di piring ada {a} potong martabak manis. Ayah memakan {b} potong. Berapa sisa martabak di piring?","On the plate, there are {a} slices of sweet martabak. Father ate {b} slices. How many slices of martabak are left on the plate?"
"Bibi membawa {a} bolu kukus. Ibu memakan {b} bolu kukus. Berapa sisa bolu kukus?","Aunt brought {a} steamed sponges. Mother ate {b} steamed sponges. How many steamed sponges are left?"
"Di toples ada {a} kue nastar. Kakak memakan {b} kue nastar. Berapa kue nastar di dalam toples sekarang?","In the jar, there are {a} nastar cookies. My older sibling ate {b} nastar cookies. How many nastar cookies are in the jar now?"
"Dina membeli {a} bungkus kerupuk. Di jalan, {b} bungkus kerupuk jatuh dan tumpah. Berapa sisa kerupuk Dina?","Dina bought {a} packs of crackers. On the way, {b} packs of crackers fell and spilled. How many packs of crackers does Dina have left?"
"Budi punya {a} kelereng. Saat bermain, {b} kelereng Budi hilang. Berapa sisa kelereng Budi sekarang?","Budi has {a} marbles. While playing, {b} of Budi's marbles got lost. How many marbles does Budi have left now?"
"Dina meniup {a} balon. Tiba-tiba {b} balon meletus. Berapa sisa balon Dina?","Dina blew {a} balloons. Suddenly {b} balloons popped. How many balloons does Dina have left?"
"Ani memiliki {a} boneka. Ani memberikan {b} boneka kepada panti asuhan. Berapa sisa boneka Ani?","Ani has {a} dolls. Ani gave {b} dolls to the orphanage. How many dolls does Ani have left?"
"Di kotak mainan ada {a} blok lego. Adik mengambil {b} blok lego untuk dimainkan. Berapa sisa lego di kotak?","In the toy box, there are {a} lego blocks. My younger sibling took {b} lego blocks to play with. How many lego blocks are left in the box?"
"Rudi punya {a} robot mainan. Ayah membuang {b} robot yang sudah rusak. Berapa robot Rudi sekarang?","Rudi has {a} toy robots. Father threw away {b} broken robots. How many robots does Rudi have now?"
"Nisa memiliki {a} boneka beruang. Ia meminjamkan {b} boneka kepada adiknya. Berapa boneka Nisa sekarang?","Nisa has {a} teddy bears. She lent {b} teddy bears to her younger sibling. How many teddy bears does Nisa have now?"
"Sinta memiliki {a} botol gelembung sabun. Ia menumpahkan {b} botol. Berapa sisa gelembung sabun Sinta?","Sinta has {a} bottles of soap bubbles. She spilled {b} bottles. How many bottles of soap bubbles does Sinta have left?"
"Doni menerbangkan {a} layang-layang. Ada {b} layang-layang yang talinya putus. Berapa layang-layang Doni yang tersisa?","Doni flew {a} kites. The strings of {b} kites snapped. How many kites does Doni have left?"
"Tono punya {a} kartu bergambar. Ia membagikan {b} kartu kepada temannya. Berapa sisa kartu Tono?","Tono has {a} picture cards. He shared {b} cards with his friend. How many cards does Tono have left?"
"Di meja ada {a} mainan rubik. Kakak meminjam {b} rubik. Berapa sisa rubik di meja?","On the table, there are {a} rubik's cube toys. My older sibling borrowed {b} rubik's cubes. How many rubik's cubes are left on the table?"
"Ani punya {a} pensil. Saat menulis, {b} pensil patah. Berapa sisa pensil Ani yang masih bagus?","Ani has {a} pencils. While writing, {b} pencils broke. How many good pencils does Ani have left?"
"Di tempat pensil ada {a} penghapus. Ada {b} penghapus yang hilang di kelas. Berapa sisa penghapus?","In the pencil case, there are {a} erasers. {b} eraser got lost in class. How many erasers are left?"
"Siti punya {a} krayon. Ada {b} krayon yang patah menjadi dua. Berapa krayon yang masih utuh?","Siti has {a} crayons. {b} crayons broke in half. How many intact crayons are left?"
"Edo membawa {a} spidol warna. Ternyata {b} spidol tintanya habis. Berapa spidol yang masih bisa dipakai?","Edo brought {a} colored markers. It turns out {b} markers ran out of ink. How many markers can still be used?"
"Ani memiliki {a} buku gambar. Ia sudah mencoret-coret {b} buku. Berapa buku gambar yang masih kosong?","Ani has {a} drawing books. She already scribbled in {b} books. How many drawing books are still empty?"
"Guru membagikan {a} kertas lipat origami. Anak-anak memakai {b} kertas. Berapa sisa kertas guru?","The teacher distributed {a} origami papers. The children used {b} papers. How many papers does the teacher have left?"
"Sinta membawa {a} lembar kertas warna. Ia menggunting {b} lembar kertas. Berapa sisa kertas Sinta?","Sinta brought {a} sheets of colored paper. She cut {b} sheets of paper. How many sheets of paper does Sinta have left?"
"Budi memiliki {a} buku tulis. Temannya meminjam {b} buku. Berapa buku tulis Budi sekarang?","Budi has {a} notebooks. His friend borrowed {b} notebooks. How many notebooks does Budi have now?"
