Soal (Indonesia),Question (English)
"Ibu membeli {a} kotak kue untuk acara keluarga. Jika setiap kotak berisi {b} potong kue, dan kue tersebut akan dibagikan sama rata kepada {c} orang tamu, berapa potong kue yang didapat setiap tamu?","Mother bought {a} boxes of cakes for a family event. If each box contains {b} pieces of cake, and the cakes are to be distributed equally among {c} guests, how many pieces of cake does each guest get?"
"Adik menabung selama {a} hari berturut-turut. Setiap hari ia memasukkan uang sebesar {b} rupiah ke celengannya. Jika total uang tabungan tersebut kemudian dibagi rata untuk dibelikan {c} buah buku tulis, berapa rupiah harga satu buku tulisnya?","Younger sibling saved money for {a} consecutive days. Every day they put {b} rupiah into their piggy bank. If the total savings are then divided equally to buy {c} notebooks, how many rupiah is the price of one notebook?"
"Ayah membeli {a} dus mi instan untuk stok dapur. Setiap dus berisi {b} bungkus mi instan. Jika seluruh mi instan tersebut habis dikonsumsi bersama oleh keluarga dalam waktu {c} minggu dengan jumlah yang sama tiap minggunya, berapa bungkus mi instan yang dihabiskan per minggu?","Father bought {a} boxes of instant noodles for kitchen stock. Each box contains {b} packs of instant noodles. If all the instant noodles are consumed equally by the family over {c} weeks, how many packs of instant noodles are consumed per week?"
"Sebuah warung makan memesan {a} krat telur ayam. Jika setiap krat berisi {b} butir telur, dan telur-telur tersebut akan dibagi habis untuk bahan membuat {c} loyang martabak besar dengan porsi telur yang sama, berapa butir telur yang dibutuhkan untuk satu loyang martabak?","A food stall ordered {a} crates of chicken eggs. If each crate contains {b} eggs, and the eggs are to be used completely to make {c} pans of large martabak with the same portion of eggs, how many eggs are needed for one pan of martabak?"
"Di sebuah acara ulang tahun, panitia menyediakan {a} meja panjang untuk anak-anak. Di setiap meja diletakkan {b} buah gorengan. Jika seluruh gorengan itu dibagikan sama banyak kepada {c} anak yang hadir, berapa buah gorengan yang didapatkan setiap anak?","At a birthday party, the committee provided {a} long tables for children. On each table, {b} fried snacks were placed. If all the fried snacks are distributed equally among the {c} children present, how many fried snacks does each child get?"
"Kakak membeli {a} pack pulpen untuk keperluan kantor. Satu pack berisi {b} batang pulpen. Pulpen tersebut akan dibagikan merata kepada {c} orang karyawan baru. Berapa batang pulpen yang diterima oleh setiap karyawan?","Older sibling bought {a} packs of pens for office needs. One pack contains {b} pens. The pens are to be distributed equally to {c} new employees. How many pens does each employee receive?"
"Sebuah toko kue memajang {a} toples nastar. Masing-masing toples berisi {b} kue nastar. Jika semua kue nastar tersebut ingin dikemas ulang secara merata ke dalam {c} buah kotak bingkisan kecil, berapa kue nastar yang ada di setiap kotak?","A cake shop displays {a} jars of nastar (pineapple tarts). Each jar contains {b} nastar cakes. If all the nastar cakes are to be repackaged equally into {c} small gift boxes, how many nastar cakes will be in each box?"
"Seorang pedagang buah memiliki {a} keranjang mangga. Setiap keranjang berisi {b} buah mangga. Pedagang tersebut ingin membagi seluruh mangga ke dalam {c} buah kantong plastik sama banyak untuk dijual eceran. Berapa buah mangga isi setiap kantong plastik?","A fruit trader has {a} baskets of mangoes. Each basket contains {b} mangoes. The trader wants to divide all the mangoes equally into {c} plastic bags for retail sale. How many mangoes are inside each plastic bag?"
"Ibu mencuci pakaian menggunakan mesin cuci sebanyak {a} kali siklus putaran dalam seminggu. Jika tiap putaran memuat maksimal {b} potong pakaian, dan seluruh pakaian tersebut setelah bersih ditata merata ke dalam {c} susun laci lemari, berapa potong pakaian di setiap susun laci?","Mother washes clothes using the washing machine {a} times a week. If each cycle holds a maximum of {b} pieces of clothing, and all the clean clothes are arranged equally into {c} wardrobe drawers, how many pieces of clothing are in each drawer?"
"Di dalam sebuah sekolah terdapat {a} ruang kelas baru. Setiap kelas disediakan {b} unit meja siswa. Jika seluruh meja tersebut dikirim menggunakan {c} unit mobil boks logistik dengan muatan yang sama rata, berapa unit meja yang diangkut oleh setiap mobil boks?","In a school, there are {a} new classrooms. Each classroom is provided with {b} student desks. If all the desks are delivered using {c} logistics box trucks with equal loads, how many desks are carried by each box truck?"
